"weight","CS01","CS01_1","CS02","CS02_2","MTS01","MTS02","MTS03","MTS03_1","LMS01","LMS2","LMS02_1","LMS02_s","LMS03","LMS4","LMS05","LMS06","LMS07","LMS07_1","LMS07_2","LMS07_3a","LMS07_3b","LMS08","LMS08_s","LMS9a","LMS9b","LMS9c","LMS9d","LMS9e","LMS9f","LMS9g","LMS09f_s","SMS01a","SMS01b","SMS01c","SMS01d","SMS01d_s","SMS02","SMS03a","SMS03b","SMS03c","SMS03d","SMS4a","SMS4b","SMS4c","SMS4d","SMS4e","SMS4f","SMS04e_s","SMS5","MLA01","MLA02","MLA03","MLA03_1","MLA04","MLA04_1","LMA01","LMA02a_LS","LMA02b_LS","LMA02c_LS","LMA02d_LS","LMA02e_LS","LMA02f_LS","LMA02g_LS","LMA02h_LS","LMA02i_LS","LMA02j_LS","LMA02k_LS","LMA02l_LS","LMA02m_LS","LMA02n_LS","LMA02o_LS","LMA02p_LS","LMA02q_LS","LMA02r_LS","LMA02s_LS","LMA02f_1_LS","LMA02m_1_LS","LMA02q_1_LS","LMA02s_s_LS","LMA03a","LMA03b","LMA03c","LMA03d","LMA04a","LMA04b","LMA04c","LMA04d","LMA04e","LMA05a","LMA05b","LMA05c","LMA05d","LMA05d_1","SMA01","SMA02a","SMA02b","SMA02c","SMA02d","SMA03a","SMA03b","SMA03b_1","SMA04a","SMA04b","SMA04c","SMA04d","SMA04e","PLMA01","PLMA02a_LS","PLMA02b_LS","PLMA02c_LS","PLMA02d_LS","PLMA03a","PLMA03b","PLMA03c","PLMA03d","PLMA03e","PLMA04","PLMA05a","PLMA05b","PLMA05c","PLMA05d","PLMA05d_1","PSMA01","PSMA02a","PSMA02b","PSMA02c","PSMA02d","PSMA03a","PSMA03b","PSMA03c","PSMA03d","PSMA03e","PSMA04","PSMA05","MS04a","MS04b","MS04c","MS04b_s","MS04c_s","SECTORID","PLMA02a","PLMA02b","PLMA02c","PLMA02d","LMA02a","LMA02b","LMA02c","LMA02d","LMA03e","LMA04d_1","prov","ECO","prov_eco","mostcommonbe","mostcommonda","mostcommonpi","mostcommonpo","FarmType"
1.6344294,3,NA,NA,NA,1,1,1,3,1,2,NA,"",2,2,422400,13,3,NA,NA,240,220,1,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,1200,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,15,45,40,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"","robotic milking, bio link manure system",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC",12,5912,NA,1,NA,NA,"Dairy"
1.283018868,3,NA,1,2,1,1,1,1,1,2,NA,"",4,3,20000000,24,3,NA,NA,277,256,1,"",1,NA,1,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,500,1,800,1,NA,"","",NA,"",1,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,"",5,5,45,45,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"","GPS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ON",4,3504,NA,1,NA,NA,"Dairy"
6.261552568,3,NA,1,3,1,1,3,NA,3,4,NA,"",NA,3,680000,16,2,NA,90,NA,NA,1,"",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,250,1,250,NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QC",5,2405,NA,1,NA,NA,"Dairy"
11.16956275,3,NA,1,1,1,1,3,NA,3,4,NA,"",NA,3,1040000,24,2,NA,81,NA,NA,1,"",1,NA,NA,NA,1,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,280,1,120,NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,15,85,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"","laliforci",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QC",1,2401,NA,1,NA,NA,"Dairy"
3.321760337,3,NA,1,2,1,1,1,1,3,2,NA,"",NA,3,3300000,23,3,NA,NA,450,105,1,"",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,3,NA,1,350,1,NA,"","",NA,"",1,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,"",100,0,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,"activity monitors","auto steer, milk anyalisis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ON",4,3504,NA,1,NA,NA,"Dairy"
3.237875643,3,NA,3,NA,1,2,3,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,NA,NA,NA,"",NA,1,1,3,3,1,1,NA,NA,NA,NA,"",1,1,NA,1,30,1,60,NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,15,30,40,NA,1,5,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"","Robotic milking",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC",12,5912,NA,1,NA,NA,"Dairy"
3.243351755,3,NA,NA,NA,1,3,3,NA,1,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,170,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC",12,5912,NA,1,NA,NA,"Dairy"
2.861729218,NA,NA,3,NA,1,1,3,NA,1,4,NA,"",2,3,2000000,12,3,NA,NA,120,12,1,"",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,NA,NA,1,490,2,NA,".",".",NA,".",NA,NA,NA,".",".",".",NA,NA,NA,".",NA,NA,NA,NA,1,NA,NA,"",NA,NA,10,90,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ON",3,3503,NA,1,NA,NA,"Dairy"
20.65581493,1,1,1,1,1,3,3,NA,1,5,NA,"",1,3,761,12,2,NA,63,NA,NA,1,"",1,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,1,NA,1,333,1,111,NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,0,35,45,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,"vidéo pour vêlage","robot de traite",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QC",2,2402,NA,1,NA,NA,"Dairy"
1.191138644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,"","","",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,"Feedwatch","Contrôle lactanet,",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QC",2,2402,NA,99,NA,NA,"Dairy"
