QUID,DWEIGHT_LIVE_FINAL,CS01,CS01_1,CS02,CS02_2,MTS01,MTS02,MTS03,MTS03_1,LMS01,LMS02,LMS02_1,LMS02_s,LMS03,LMS04,LMS05,LMS06,LMS07,LMS07_1,LMS07_2,LMS07_3a,LMS07_3b,LMS08,LMS08_s,LMS09a,LMS09b,LMS09c,LMS09d,LMS09e,LMS09f,LMS09g,LMS09f_s,SMS01a,SMS01b,SMS01c,SMS01d,SMS01d_s,SMS02,SMS03a,SMS03b,SMS03c,SMS03d,SMS04a,SMS04b,SMS04c,SMS04d,SMS04e,SMS04f,SMS04e_s,SMS05,MLA01,MLA02,MLA03,MLA03_1,MLA04,MLA04_1,LMA01,LMA02a_LS,LMA02b_LS,LMA02c_LS,LMA02d_LS,LMA02e_LS,LMA02f_LS,LMA02g_LS,LMA02h_LS,LMA02i_LS,LMA02j_LS,LMA02k_LS,LMA02l_LS,LMA02m_LS,LMA02n_LS,LMA02o_LS,LMA02p_LS,LMA02q_LS,LMA02r_LS,LMA02s_LS,LMA02f_1_LS,LMA02m_1_LS,LMA02q_1_LS,LMA02s_s_LS,LMA03a,LMA03b,LMA03c,LMA03d,LMA04a,LMA04b,LMA04c,LMA04d,LMA04e,LMA05a,LMA05b,LMA05c,LMA05d,LMA05d_1,SMA01,SMA02a,SMA02b,SMA02c,SMA02d,SMA03a,SMA03b,SMA03b_1,SMA04a,SMA04b,SMA04c,SMA04d,SMA04e,PLMA01,PLMA02a_LS,PLMA02b_LS,PLMA02c_LS,PLMA02d_LS,PLMA03a,PLMA03b,PLMA03c,PLMA03d,PLMA03e,PLMA04,PLMA05a,PLMA05b,PLMA05c,PLMA05d,PLMA05d_1,PSMA01,PSMA02a,PSMA02b,PSMA02c,PSMA02d,PSMA03a,PSMA03b,PSMA03c,PSMA03d,PSMA03e,PSMA04,PSMA05,MS04a,MS04b,MS04c,MS04b_s,MS04c_s,SECTORID,PLMA02a,PLMA02b,PLMA02c,PLMA02d,LMA02a,LMA02b,LMA02c,LMA02d,LMA03e,LMA04d_1,prov,ECO,prov_eco,mostcommonbe,mostcommonda,mostcommonpi,mostcommonpo
Q33061504,1.700817701,3,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,GPS,2,,,,,,,,,,,48,6,4806,3,,,
Q33061521,1.700817701,1,1,1,3,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,3,3,,,,,,1,,2,1,,1,1000,1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,GPS,autosteer,2,,,,,,,,,,,48,6,4806,1,,,
Q33061523,6.152842912,,,1,1,1,1,3,,1,4,,,1,3,950000,16,2,,110,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,867,1,,.,.,,.,,,,.,.,.,,,,.,,,,,1,,,,0,0,75,25,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,gps pour les culture,,4,,,,,,,,,,,24,2,2402,,,2,
Q33061527,1.979702492,,,1,5,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,entreposé dans des silos dehors,,1,3,1,3,,,,,1,,fumier séché et cubé,3,1,,,,1,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,50,50,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,gps,3,,,,,,,,,,,24,5,2405,,,,2
Q33061541,4.971102177,3,,3,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,manure storage,4,2,3,2,3,1,,,1,,,,1,1,,1,80,1,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,0,70,20,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,water and feed consumption,"auto steer, section control",3,,,,,,,,,,,12,1,1201,,,,3
Q33061551,1.507524537,3,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,3,3,3,1,,,,,,,2,1,,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,100,0,1,,,,,3,,1,,,,,2,,,,,,,,,,,59,11,5911,3,,,
Q33061552,1.912205568,,,,,1,1,1,5,1,2,,,3,4,400000000,14,3,,,800,200,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,barn ventillation,4,,,,,,,,,,,46,9,4609,,,3,
Q33061555,2.647295616,,,1,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,1,3,3,,,,,,1,,1,1,,,,1,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,50,,,50,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,GPS controlled tractors,2,,,,,,,,,,,48,7,4807,1,,,
Q33061556,5.07264732,3,,1,1,1,1,3,,1,4,,,4,3,550000,16,2,,110,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,85,1,800,1,,,,,,1,,,,,,,,1,,,1,,,1,,1,,32,0,50,18,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,robot et automatisation,4,,,,,,,,,,,24,2,2402,,,2,
Q33061558,16.13532472,1,3,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,3,3,,1,,,,,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"planter, combine",2,,,,,,,,,,,35,3,3503,3,,,
Q33061563,2.935261282,,,,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,feeding. lighting. ventilation. bird weights.alarms.,3,,,,,,,,,,,59,12,5912,,,,3
Q33061570,2.116981132,,,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,separate storage building,,1,1,2,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,barn ventilation,3,,,,,,,,,,,35,4,3504,,,,2
